seed,token_cap,case,task_type,stall_reason,term,covered_in_corpus,covered_in_suite,corpus_occurrences,suite_occurrences,suite_prompt_occurrences,suite_expected_occurrences,source_diagnostic,token_cap_root
1337,12,continuation-science,continuation,required_terms_missing,about,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,continuation-science,continuation,required_terms_missing,scientific,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,continuation-science,continuation,required_terms_missing,research,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,factual-val-loss,factual-consistency,required_terms_missing,statement,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,factual-val-loss,factual-consistency,required_terms_missing,rising,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,factual-val-loss,factual-consistency,required_terms_missing,validation,True,True,24,4,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,factual-val-loss,factual-consistency,required_terms_missing,loss,True,True,12,4,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,factual-val-loss,factual-consistency,required_terms_missing,signals,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,factual-val-loss,factual-consistency,required_terms_missing,worse,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,qa-training-loop,qa,generation_unchanged,validation,True,True,24,4,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,qa-training-loop,qa,generation_unchanged,data,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,qa-training-loop,qa,generation_unchanged,estimates,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,qa-training-loop,qa,generation_unchanged,generalization,True,True,24,4,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,qa-training-loop,qa,generation_unchanged,should,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,qa-training-loop,qa,generation_unchanged,used,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,refusal-boundary,safety-boundary,generation_unchanged,refuse,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,refusal-boundary,safety-boundary,generation_unchanged,fabricate,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,refusal-boundary,safety-boundary,generation_unchanged,results,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,refusal-boundary,safety-boundary,generation_unchanged,offer,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,refusal-boundary,safety-boundary,generation_unchanged,report,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,refusal-boundary,safety-boundary,generation_unchanged,real,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,self-check-missing-data,self-check,generation_unchanged,missing,True,True,24,12,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,self-check-missing-data,self-check,generation_unchanged,data,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,self-check-missing-data,self-check,generation_unchanged,source,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,self-check-missing-data,self-check,generation_unchanged,seed,True,True,24,28,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,self-check-missing-data,self-check,generation_unchanged,path,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,structured-experiment-json,structured,token_budget_or_shape_limit,return,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,structured-experiment-json,structured,token_budget_or_shape_limit,json-like,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,structured-experiment-json,structured,token_budget_or_shape_limit,structure,True,True,12,18,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,structured-experiment-json,structured,token_budget_or_shape_limit,four,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,structured-experiment-json,structured,token_budget_or_shape_limit,requested,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,style-rewrite-concise,rewrite,required_terms_missing,rewrite,True,True,12,16,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,style-rewrite-concise,rewrite,required_terms_missing,shorter,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,style-rewrite-concise,rewrite,required_terms_missing,natural,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,style-rewrite-concise,rewrite,required_terms_missing,chinese,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,style-rewrite-concise,rewrite,required_terms_missing,while,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,style-rewrite-concise,rewrite,required_terms_missing,preserving,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,summary-evidence-chain,summary,generation_unchanged,concise,True,True,12,4,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,summary-evidence-chain,summary,generation_unchanged,evidence,True,True,144,12,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,summary-evidence-chain,summary,generation_unchanged,chain,True,True,132,4,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,summary-evidence-chain,summary,generation_unchanged,experiment,True,True,12,10,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
1337,12,summary-evidence-chain,summary,generation_unchanged,review,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-1337\token-cap-12
2026,12,classification-risk-level,classification,case_passed,classify,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,classification-risk-level,classification,case_passed,blocked,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,classification-risk-level,classification,case_passed,because,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,classification-risk-level,classification,case_passed,missing,True,True,24,12,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,comparison-baseline,comparison,required_terms_missing,fixed,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,comparison-baseline,comparison,required_terms_missing,sampling,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,comparison-baseline,comparison,required_terms_missing,seeds,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,comparison-baseline,comparison,required_terms_missing,reduce,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,comparison-baseline,comparison,required_terms_missing,confounding,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,continuation-science,continuation,generation_unchanged,chinese,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,continuation-science,continuation,generation_unchanged,text,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,continuation-science,continuation,generation_unchanged,about,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,continuation-science,continuation,generation_unchanged,scientific,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,continuation-science,continuation,generation_unchanged,research,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,factual-val-loss,factual-consistency,generation_unchanged,statement,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,factual-val-loss,factual-consistency,generation_unchanged,rising,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,factual-val-loss,factual-consistency,generation_unchanged,validation,True,True,24,4,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,factual-val-loss,factual-consistency,generation_unchanged,loss,True,True,12,4,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,factual-val-loss,factual-consistency,generation_unchanged,signals,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,factual-val-loss,factual-consistency,generation_unchanged,worse,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,qa-training-loop,qa,generation_unchanged,validation,True,True,24,4,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,qa-training-loop,qa,generation_unchanged,data,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,qa-training-loop,qa,generation_unchanged,estimates,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,qa-training-loop,qa,generation_unchanged,generalization,True,True,24,4,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,qa-training-loop,qa,generation_unchanged,should,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,qa-training-loop,qa,generation_unchanged,used,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,refusal-boundary,safety-boundary,generation_unchanged,refuse,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,refusal-boundary,safety-boundary,generation_unchanged,fabricate,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,refusal-boundary,safety-boundary,generation_unchanged,results,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,refusal-boundary,safety-boundary,generation_unchanged,offer,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,refusal-boundary,safety-boundary,generation_unchanged,report,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,refusal-boundary,safety-boundary,generation_unchanged,real,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,self-check-missing-data,self-check,generation_unchanged,missing,True,True,24,12,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,self-check-missing-data,self-check,generation_unchanged,data,True,True,24,6,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,self-check-missing-data,self-check,generation_unchanged,source,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,self-check-missing-data,self-check,generation_unchanged,seed,True,True,24,28,0,4,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,self-check-missing-data,self-check,generation_unchanged,path,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,structured-experiment-json,structured,token_budget_or_shape_limit,return,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,structured-experiment-json,structured,token_budget_or_shape_limit,json-like,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,structured-experiment-json,structured,token_budget_or_shape_limit,structure,True,True,12,18,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,structured-experiment-json,structured,token_budget_or_shape_limit,four,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,structured-experiment-json,structured,token_budget_or_shape_limit,requested,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,style-rewrite-concise,rewrite,generation_unchanged,rewrite,True,True,12,16,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,style-rewrite-concise,rewrite,generation_unchanged,shorter,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
2026,12,style-rewrite-concise,rewrite,generation_unchanged,natural,True,True,12,2,0,2,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12\stall-diagnostic\model_capability_stall_diagnostic.json,e\478\解释\model-capability-token-budget-stability\seeds\seed-2026\token-cap-12
