id,category,target,expected,actual,status,detail
order:model_capability_honest_measurement_before_coverage,required_order,model_capability_honest_measurement_before_coverage,before,before_line=47;after_line=89,pass,"Required CI command order is preserved: before line 47, after line 89."
order:artifact_schema_guard_after_honest_measurement,required_order,artifact_schema_guard_after_honest_measurement,before,before_line=47;after_line=50,pass,"Required CI command order is preserved: before line 47, after line 50."
order:artifact_schema_guard_before_coverage,required_order,artifact_schema_guard_before_coverage,before,before_line=50;after_line=89,pass,"Required CI command order is preserved: before line 50, after line 89."
order:file_size_ratchet_after_artifact_schema_guard,required_order,file_size_ratchet_after_artifact_schema_guard,before,before_line=50;after_line=53,pass,"Required CI command order is preserved: before line 50, after line 53."
order:file_size_ratchet_before_coverage,required_order,file_size_ratchet_before_coverage,before,before_line=53;after_line=89,pass,"Required CI command order is preserved: before line 53, after line 89."
order:aiproj_track_closeout_after_file_size_ratchet,required_order,aiproj_track_closeout_after_file_size_ratchet,before,before_line=53;after_line=56,pass,"Required CI command order is preserved: before line 53, after line 56."
order:aiproj_track_closeout_before_coverage,required_order,aiproj_track_closeout_before_coverage,before,before_line=56;after_line=89,pass,"Required CI command order is preserved: before line 56, after line 89."
order:promoted_seed_handoff_assurance_smoke_before_coverage,required_order,promoted_seed_handoff_assurance_smoke_before_coverage,before,before_line=62;after_line=89,pass,"Required CI command order is preserved: before line 62, after line 89."
order:tiny_scorecard_inline_check_smoke_before_coverage,required_order,tiny_scorecard_inline_check_smoke_before_coverage,before,before_line=71;after_line=89,pass,"Required CI command order is preserved: before line 71, after line 89."
order:archived_path_portability_check_before_receipt_smoke,required_order,archived_path_portability_check_before_receipt_smoke,before,before_line=59;after_line=65,pass,"Required CI command order is preserved: before line 59, after line 65."
order:archived_path_portability_check_before_coverage,required_order,archived_path_portability_check_before_coverage,before,before_line=59;after_line=89,pass,"Required CI command order is preserved: before line 59, after line 89."
order:promoted_seed_receipt_contract_failure_smoke_after_assurance,required_order,promoted_seed_receipt_contract_failure_smoke_after_assurance,before,before_line=62;after_line=65,pass,"Required CI command order is preserved: before line 62, after line 65."
order:promoted_seed_receipt_contract_failure_smoke_before_coverage,required_order,promoted_seed_receipt_contract_failure_smoke_before_coverage,before,before_line=65;after_line=89,pass,"Required CI command order is preserved: before line 65, after line 89."
order:promoted_seed_receipt_contract_failure_smoke_plan_check_after_smoke,required_order,promoted_seed_receipt_contract_failure_smoke_plan_check_after_smoke,before,before_line=65;after_line=68,pass,"Required CI command order is preserved: before line 65, after line 68."
order:promoted_seed_receipt_contract_failure_smoke_plan_check_before_coverage,required_order,promoted_seed_receipt_contract_failure_smoke_plan_check_before_coverage,before,before_line=68;after_line=89,pass,"Required CI command order is preserved: before line 68, after line 89."
order:ci_tiny_scorecard_plan_check_after_smoke,required_order,ci_tiny_scorecard_plan_check_after_smoke,before,before_line=71;after_line=74,pass,"Required CI command order is preserved: before line 71, after line 74."
order:ci_tiny_scorecard_plan_check_before_coverage,required_order,ci_tiny_scorecard_plan_check_before_coverage,before,before_line=74;after_line=89,pass,"Required CI command order is preserved: before line 74, after line 89."
order:baseline_candidate_threshold_boundary_gate_check_after_plan_digest,required_order,baseline_candidate_threshold_boundary_gate_check_after_plan_digest,before,before_line=74;after_line=77,pass,"Required CI command order is preserved: before line 74, after line 77."
order:baseline_candidate_threshold_boundary_gate_check_before_coverage,required_order,baseline_candidate_threshold_boundary_gate_check_before_coverage,before,before_line=77;after_line=89,pass,"Required CI command order is preserved: before line 77, after line 89."
order:baseline_candidate_threshold_boundary_gate_plan_check_after_gate_check,required_order,baseline_candidate_threshold_boundary_gate_plan_check_after_gate_check,before,before_line=77;after_line=80,pass,"Required CI command order is preserved: before line 77, after line 80."
order:baseline_candidate_threshold_boundary_gate_plan_check_before_coverage,required_order,baseline_candidate_threshold_boundary_gate_plan_check_before_coverage,before,before_line=80;after_line=89,pass,"Required CI command order is preserved: before line 80, after line 89."
order:release_readiness_drift_contract_smoke_before_coverage,required_order,release_readiness_drift_contract_smoke_before_coverage,before,before_line=83;after_line=89,pass,"Required CI command order is preserved: before line 83, after line 89."
order:normalization_guard_before_coverage,required_order,normalization_guard_before_coverage,before,before_line=86;after_line=89,pass,"Required CI command order is preserved: before line 86, after line 89."
python:setup-version,python_version,actions/setup-python,3.11,3.11,pass,CI parser target should remain aligned with source encoding compatibility checks.
