example_id,case_id,revision_type,prompt,completion,guardrail
decoder-anchor-objective-answer-role-prefix_fixed_space_bridge,objective-answer-role,prefix_fixed_space_bridge,"目标：给出 paired required terms 的两个角色词。
输出：fixed ",loss,first_term_to_second_term_bridge
decoder-anchor-objective-answer-role-prefix_fixed_l_bridge,objective-answer-role,prefix_fixed_l_bridge,"目标：给出 paired required terms 的两个角色词。
输出：fixed l",oss,second_term_prefix_bridge
decoder-anchor-objective-answer-contrast-unanchored_direct_answer,objective-answer-contrast,unanchored_direct_answer,"对比任务：不要解释，只返回目标 pair tokens。
结果：",fixed loss,unanchored_exact_answer
decoder-anchor-objective-answer-contrast-prefix_f_bridge,objective-answer-contrast,prefix_f_bridge,"对比任务：不要解释，只返回目标 pair tokens。
结果：f",ixed loss,first_character_bridge
decoder-anchor-objective-answer-contrast-prefix_fixed_space_bridge,objective-answer-contrast,prefix_fixed_space_bridge,"对比任务：不要解释，只返回目标 pair tokens。
结果：fixed ",loss,first_term_to_second_term_bridge
decoder-anchor-objective-answer-contrast-prefix_fixed_l_bridge,objective-answer-contrast,prefix_fixed_l_bridge,"对比任务：不要解释，只返回目标 pair tokens。
结果：fixed l",oss,second_term_prefix_bridge
decoder-anchor-objective-answer-jsonish-unanchored_direct_answer,objective-answer-jsonish,unanchored_direct_answer,"请用 JSON 风格写出 answer_terms，包含两个英文词。
answer_terms:",fixed loss,unanchored_exact_answer
decoder-anchor-objective-answer-jsonish-prefix_f_bridge,objective-answer-jsonish,prefix_f_bridge,"请用 JSON 风格写出 answer_terms，包含两个英文词。
answer_terms:f",ixed loss,first_character_bridge
decoder-anchor-objective-answer-jsonish-prefix_fixed_space_bridge,objective-answer-jsonish,prefix_fixed_space_bridge,"请用 JSON 风格写出 answer_terms，包含两个英文词。
answer_terms:fixed ",loss,first_term_to_second_term_bridge
decoder-anchor-objective-answer-jsonish-prefix_fixed_l_bridge,objective-answer-jsonish,prefix_fixed_l_bridge,"请用 JSON 风格写出 answer_terms，包含两个英文词。
answer_terms:fixed l",oss,second_term_prefix_bridge
decoder-anchor-objective-answer-check-unanchored_direct_answer,objective-answer-check,unanchored_direct_answer,自检：本题需要同时出现 fixed 与 loss。最终答案：,fixed loss,unanchored_exact_answer
decoder-anchor-objective-answer-check-prefix_f_bridge,objective-answer-check,prefix_f_bridge,自检：本题需要同时出现 fixed 与 loss。最终答案：f,ixed loss,first_character_bridge
decoder-anchor-objective-answer-check-prefix_fixed_space_bridge,objective-answer-check,prefix_fixed_space_bridge,自检：本题需要同时出现 fixed 与 loss。最终答案：fixed ,loss,first_term_to_second_term_bridge
decoder-anchor-objective-answer-check-prefix_fixed_l_bridge,objective-answer-check,prefix_fixed_l_bridge,自检：本题需要同时出现 fixed 与 loss。最终答案：fixed l,oss,second_term_prefix_bridge
